,0,1,2,3,4,5,6,7,8,9,10
2017/11/7,-0.136640103,-0.168823563,-5.634722072,-0.95621634,-0.802351343,0.030963554,-1.439182332,-0.770157028,4.06089568,0.065427949,0.035611766
2017/11/8,0.257894065,-0.031439073,-4.783672667,-2.351415147,-0.011941828,0.036201106,-1.492447051,-1.19994876,3.421751398,0.072982818,-0.025118268
2017/11/9,1.957168267,-0.063347278,-4.995415717,-2.609134654,-0.038481588,0.02527073,-0.78118354,-1.044803686,0.760687016,0.080292783,-0.216610655
2017/11/10,1.861458789,0.034962879,-2.331335405,6.166309225,-0.013356166,0.049966539,-1.152661284,-1.274625161,-0.785498985,0.099087813,-0.258836515
2017/11/11,2.030844103,0.371788055,-3.156255543,7.439649759,-0.029849198,0.027087727,-0.953199862,-1.592061792,1.638719855,0.079867807,0.358296974
2017/11/12,0.510218266,-0.252598597,-3.25658423,-1.840332361,0.004547765,0.024174852,-0.591413656,-1.53476724,2.816715428,0.079051945,0.040742828
2017/11/13,1.50123632,-0.546591829,-3.405539856,-1.080509274,-0.171173779,-0.088973917,-0.597745048,-1.638801859,1.142572618,0.097530646,0.009984624
2017/11/14,0.47632714,0.484236441,-2.397464513,-2.210039321,-0.200195497,0.020169019,-0.973874872,-1.625134469,2.539638069,0.091221845,0.231106514
2017/11/15,0.328367704,-0.188088529,-2.698385116,1.17943211,-0.039838567,0.006986988,-1.576145004,-1.685847781,2.077598598,0.084753733,0.287629981
2017/11/16,0.867054304,-0.411361684,-3.558386183,2.60813634,0.021590627,-0.175996831,-1.238471684,-1.132088106,0.833171286,0.105052424,0.172622728
2017/11/17,1.141727443,-0.088800643,-3.491950742,14.64267725,0.02646492,0.051013082,-1.369666604,-1.358417301,4.379237197,0.061556999,0.233573471
2017/11/18,0.776719423,0.054631246,-0.935492858,-1.118515342,-0.003043276,0.038859775,-0.976071507,-1.432514303,2.569833696,0.077748811,-0.066893245
2017/11/19,1.031231143,0.294971423,-3.766372158,7.002584546,-0.097720441,0.069738328,-1.348269123,-0.707015761,3.258021777,0.051301167,0.100622599
2017/11/20,1.770879794,-0.122369329,-2.456365689,1.78052933,-0.089684203,0.04483345,-0.431393181,-0.91469197,1.792944291,0.034644606,0.081595199
2017/11/21,0.802288723,-0.203665272,-5.017566842,-2.101804948,-0.0178482,-0.085151081,-0.80456023,-0.995427283,5.102288952,0.034858457,-1.002993542
2017/11/22,2.226111738,-0.230556686,-2.962175194,-3.234477278,-0.365375051,-0.13315046,-0.658586812,-2.082112279,-0.770418334,0.061796296,0.04018831
2017/11/23,2.12964207,0.105674678,-2.673495069,-1.087553086,-0.310144745,0.038866611,-0.835312935,-2.733486676,-1.083906252,-0.124518492,-0.056009734
2017/11/24,1.932604978,0.006707085,-1.454548582,1.396693105,-0.147194688,0.107289751,-0.736554248,-1.589858132,-3.352618283,-0.099423369,0.248399401
2017/11/25,2.201164771,0.102964354,-1.565114781,-4.441345669,-0.023123256,0.060278855,-0.545674786,-1.477718295,-0.474781834,0.069406113,0.470444219
2017/11/26,3.011758987,-0.249737766,-3.079744799,-1.839118391,-0.260496375,0.062637228,-0.621373424,-1.309965803,0.389330704,0.04870336,0.029899824
2017/11/27,1.16415921,-0.991715774,-4.572436753,-2.860860189,-0.046505628,-0.193574945,-4.210200907,-0.764706361,-0.40153146,0.068169865,0.419964235
2017/11/28,0.743886911,-0.346943013,-2.391429986,-2.264319148,-0.060862422,0.014088139,-1.375797667,-1.042713736,3.27170182,0.028837599,0.170620437
2017/11/29,1.06196366,-0.483662604,-2.912850748,-1.318421509,-0.066197812,0.060979373,-0.508971885,-1.006532964,0.261173222,0.047538959,-2.421733622
2017/11/30,1.772215593,0.820365912,-2.74127706,-3.650615801,-0.056850132,0.047401063,-0.367351002,-0.981576352,2.087143239,0.076672657,-1.060563678
2017/12/1,1.499342932,-0.449892072,-2.061249512,-1.216411963,-0.049498592,0.066763402,-0.526032936,-0.943318613,1.730557695,0.067999146,0.431473072
2017/12/2,1.293558608,-0.795660059,-2.070247237,-4.081783083,-0.067721935,-0.104573374,-0.346075487,-1.426053449,2.43976766,0.009900937,0.403163626
